station,network,st_lat,st_lon,st_ele,mean_SNR_0,n_data,dt,phi,dt_error,phi_error,SC_fast,SC_lag,CC_fast,CC_lag
CANO,GU,44.2075,8.2372,638.0,2.00463483933,71,1.97918041879,13.3394432962,0.11315941427,1.72510726796,24.3,2.62,16.2,2.21
A283B,Z3,45.238,8.2885,195.0,11.5635803534,30,1.364516993,98.762172134,0.0246422443118,0.124136500937,0.05,0.05,0.05,0.05
DAVOX,CH,46.7805,9.87952,1830.0,6.83767556674,25,1.11079715491,63.2970242433,0.00245621508501,0.042528592525,173.3,0.27,7.1,0.25
GRIMS,CH,46.578146,8.318864,1746.0,4.00958287143,25,1.64004641407,56.4156786456,0.0257155706282,0.624008114253,41.5,1.67,48.0,1.98
MUGIO,CH,45.92184,9.04171,924.0,4.93992800947,20,1.28265907093,55.804669435,0.0363885204244,0.554923028761,158.7,1.98,28.3,1.04
VANNI,CH,46.21006,7.59678,1520.0,6.26844178186,25,1.02401979285,1.91876795432,0.709415293337,14.4119682851,25.8,2.97,48.4,1.1
BOURR,CH,47.39364,7.2301,846.8,3.28491896147,15,1.36051957119,43.0186067233,0.00115854277558,0.135531044183,20.1,2.79,56.1,1.21
DIX,CH,46.081053,7.408391,2370.2,6.84877930512,10,1.34025998881,34.8568414255,0.000391694204139,0.0815921137837,12.2,3.05,56.05,0.79
LIENZ,CH,47.294437,9.491773,1567.0,4.42346446029,10,1.64793991703,62.6726987148,0.0273399098922,1.7710677701,12.0,2.96,59.1,1.86
GROG,IV,43.42618,9.89201,118.0,3.66479749877,15,1.90282806936,117.014282164,0.012890739125,0.0936762625086,96.6,2.94,139.5,1.19
ASQU,IV,43.7967,11.7893,860.0,3.71725568025,20,0.535140985696,34.9188588085,5.13402857114e-05,0.00870687294298,150.05,0.45,4.05,0.25
RNCA,GU,44.4712,8.9512,235.0,33.0486660165,120,2.02074500672,95.502249107,0.0169301575855,0.138039326533,87.2,2.93,139.5,1.02
A129A,Z3,49.34262,7.74195,364.0,3.78330722627,133,1.28944295471,65.8388097167,0.0834124178158,2.32153939865,70.5,1.63,35.4,0.72
A268A,Z3,47.43127,17.92382,201.0,2.79731471356,79,1.43595355574,80.2267188399,0.0496583402745,1.25531204937,59.9,3.05,91.5,2.79
A125A,Z3,48.9743,8.68367,310.0,5.19508006571,72,1.43502660182,57.1778054445,0.0780144191207,2.38790956726,0.05,0.05,0.05,0.05
VARN,OX,45.9922,12.1051,1265.0,5.87495046783,74,1.63480236948,80.980278952,0.196246195267,4.50465676176,13.7,2.85,36.0,1.1
A122A,Z3,48.27851,7.86782,282.0,2.84813021854,68,0.975032265269,53.5577935477,0.114430482874,4.33405312797,62.3,2.73,29.1,1.25
GRC4,GR,49.086746,11.526272,503.0,2.6973403139,15,1.48948465591,31.7377024404,0.019406157514,0.240768000501,108.1,1.82,72.05,0.45
MRGE,IV,45.76975,7.06101,1660.0,3.15842203565,15,1.12345796232,4.64240105921,0.0133857228003,0.269265480005,10.8,1.02,41.9,0.85
BNALP,CH,46.87034,8.4249,1549.0,6.85640907816,25,1.75954331533,54.4985081633,0.0195695026117,0.369924993744,27.8,1.64,39.0,1.41
A192A,Z3,44.5069,4.5869,249.0,2024.64250702,75,1.11641464362,150.868884084,0.0462699374555,1.04760665045,39.2,0.91,130.3,0.82
GRA1,GR,49.691888,11.22172,499.5,4.19091331146,25,0.987622333616,93.4198724667,0.0228980399535,1.026587742,72.4,1.83,94.2,1.04
PLONS,CH,47.04921,9.38076,1022.0,3.21305503616,20,1.92200906914,65.9567415028,0.0719438077714,1.21991869946,16.9,2.02,68.05,2.45
WIMIS,CH,46.66488,7.62418,770.0,5.11544278459,20,0.986729943542,8.60267076947,0.765344283324,18.3481060129,21.2,3.05,57.7,1.1
BFO,GR,48.3311,8.3303,589.0,3.65474110074,20,1.51529787145,64.5904065046,0.0694117022005,1.98017111633,34.9,2.64,57.9,1.48
STV,GU,44.2455,7.326,930.0,3.58320311311,25,1.24314793129,117.646120228,0.0546946026239,1.74952124945,112.3,1.16,119.8,1.16
LAUCH,CH,46.41554,7.77166,2160.0,6.80330858788,15,3.0,4.13960995568,0.300591448878,1.54096580001,167.0,2.99,158.4,2.95
BOO,OX,46.3195,13.0984,444.0,3.43025904941,105,1.16143639104,81.4887615205,0.0625503574307,2.58479015698,38.5,1.29,78.2,1.28
MORC,GE,49.7766,17.5428,740.0,3.28519308005,25,0.758419053897,124.939803902,0.0327250891917,1.31459525354,133.0,1.07,106.3,0.72
A306A,Z3,44.535919,10.596118,463.0,3.34333917459,125,2.77786314796,166.015682548,0.226021400368,0.711891493749,8.8,1.43,164.0,1.99
A309A,Z3,44.170353,12.244515,32.0,3.96724031841,100,1.70114903765,155.862115487,0.0102265278181,0.184344710201,144.05,1.79,160.6,2.02
A304A,Z3,45.016739,12.033501,1.0,4.78953276478,130,1.29320019686,17.4777755585,0.106627304498,2.53786232619,8.8,1.17,25.8,1.31
A005B,Z3,48.371921,16.205439,174.0,2.77063185569,120,1.34241963026,120.735369256,0.0730426244451,2.75780187917,116.9,1.45,7.7,1.35
A305A,Z3,44.959236,12.432347,-3.0,5.38734587101,85,1.98405234667,59.6196475115,0.0560334128842,0.609142600669,44.7,1.78,29.7,2.09
A307A,Z3,44.660755,11.436312,9.0,3.84455985133,105,2.48763752711,8.7827652337,0.012294469755,0.141933846319,0.05,0.05,0.05,0.05
A308A,Z3,44.582485,12.005684,-2.0,6.21291807884,95,1.80454498619,2.53077134829,0.161086871859,1.84567131164,8.7,1.77,29.8,1.04
CAE,OX,46.009,12.4379,870.0,3.17477344549,115,0.933499669686,49.2967105583,0.0659694152526,2.72107279296,8.5,1.28,36.7,1.05
A184A,Z3,44.892,4.4516,750.0,3.4848154467,119,1.31043077311,0.748018590523,0.0148007700281,0.466736288808,132.5,0.87,10.1,0.78
A163A,Z3,47.197,5.20102,222.0,2.05809237534,66,0.872928214003,131.350362457,inf,inf,0.05,0.05,0.05,0.05
A173A,Z3,46.3296,6.6808,1030.0,4.58080693051,122,0.865379010014,175.332142232,0.0725469134404,2.37556944636,170.6,1.47,165.8,0.91
A214A,Z3,46.362,5.8003,476.0,3.41923489711,80,0.737409495852,146.069431019,0.00613379172416,0.128073565931,153.9,2.76,99.1,0.45
A270A,Z3,47.8452,19.0186,152.0,3.34038415557,106,0.958043402106,150.170538483,0.240723548402,8.77212382937,169.1,2.17,127.6,1.35
A147B,Z3,48.530049,12.977644,468.0,4.26674437643,90,1.05989498773,91.2611814897,0.0869466143872,1.89287750216,33.6,1.92,86.0,0.28
A175A,Z3,45.9427,5.0747,0.0,4.832370944,80,0.630886066601,168.897911296,0.29299132529,9.70931659646,152.0,0.91,145.1,0.83
