CC_fast,CC_lag,SC_fast,SC_lag,dt,dt_error,mean_SNR_0,n_data,network,phi,phi_error,st_ele,st_lat,st_lon,station
29.1,0.64,139.4,2.88,1.3074711872,0.39541960233,7.68073228924,143,Z3,84.8072655509,8.35273113265,266.0,47.073329,16.079254,A010A
155.9,0.5,144.0,0.91,1.3469920653,0.0119098146004,12.7697213186,131,Z3,121.975571814,0.481659204665,458.0,49.4392,16.1962,A085A
102.7,0.99,151.8,1.39,3.0,0.120573138115,9.40349933864,53,Z3,156.360958374,0.522889292269,211.0,49.4303,17.2911,A088A
78.0,0.59,34.8,0.98,1.04167880103,0.073009196427,6.60041204046,115,CZ,93.1602900813,1.44368494719,500.0,48.8199,14.3095,CKRC
147.5,1.0,171.0,0.91,1.00140505361,0.0223929446881,6.70981385988,144,OE,109.159868261,1.194428437,1039.0,47.9282,15.8588,CSNA
0.05,0.05,0.05,0.05,1.5908324871,0.00464010516899,18.3491999845,117,Z3,91.0695828445,0.0190869088126,608.0,48.12299,13.30632,A032A
124.1,0.52,150.8,0.71,1.43729851875,0.140903489387,9.88040016988,142,Z3,138.221155817,4.45990495081,659.0,49.3655,17.8278,A090A
38.5,1.29,30.4,2.92,1.84952558433,0.14844913823,8.72902408804,180,Z3,79.8700127869,4.62713312059,1020.0,47.378903,12.308427,A036A
73.5,1.01,43.4,1.25,1.14017742666,0.0980369721155,11.7575419847,92,BW,96.8395454719,2.43820458223,607.0,49.14502,12.87571,WETR
33.6,0.63,10.8,1.18,1.46183794597,0.0494149402573,8.50238774074,175,Z3,70.736630941,1.01339465867,385.0,49.6715,13.5309,A074A
0.05,0.05,0.05,0.05,2.01470168819,0.767409247811,13.279743903,75,Z3,126.024016299,6.70685653053,220.0,50.061,15.6502,A082A
122.1,0.85,92.05,3.05,1.6027478217,0.000505383958183,13.5555425697,66,Z3,167.670261444,0.188435996793,285.0,50.0377,13.8737,A075A
90.0,0.84,69.5,2.99,1.23798645258,0.155450615837,9.57743180627,135,Z3,90.1308411895,5.8861528619,228.0,50.0752,15.0341,A081A
100.8,1.03,64.9,2.65,1.40098509736,0.393813946952,8.32795309587,182,Z3,107.334282935,9.32534987372,532.0,49.6168,14.1494,A076A
58.1,1.05,72.5,0.91,1.14863962124,0.0625807390195,5.7688811782,180,Z3,67.1320134591,1.43631156451,6.0,45.819313,13.127954,A300A
140.7,1.64,147.9,2.8,1.67268052036,0.281419365414,7.31217480799,139,Z3,159.668626275,4.84734444519,450.0,45.4307,5.23226,A215A
76.9,0.9,15.6,0.91,1.53138359851,0.0744675345138,10.5477398223,141,GR,60.0301913696,1.87138854159,565.0,48.1639,11.2768,FUR
28.8,1.43,28.5,1.48,2.2026173619,0.0302891210311,12.6979052297,30,Z3,46.1490790651,0.472152360876,547.0,47.810224,9.52212,A103A
0.05,0.05,0.05,0.05,1.45587062198,0.000675892587177,5.46864824665,52,Z3,61.1920178671,0.00933989749705,323.0,49.39802,9.48334,A116A
,,,,,,10.6285518891,48,Z3,,,452.0,49.8214,11.6903,A352A
81.9,1.45,108.2,2.22,3.0,0.347249701295,8.48080651435,20,Z3,36.5340234065,2.08313247481,575.0,48.062785,9.710348,A104A
113.5,0.5,147.0,0.91,2.59570006048,0.6872564587,6.9324225317,160,Z3,78.5220007722,2.35578689932,151.0,46.42445,17.79538,A265A
132.05,3.05,34.05,3.05,3.0,0.973041173163,12.1387206056,88,GU,32.4988692802,1.99830990302,1690.0,44.0426,7.8082,MGRO
46.7,0.62,76.5,0.64,2.7883830482,0.0394010321402,9.67449308932,114,Z3,99.2707894491,0.133230603877,249.0,49.8478,10.2132,A111A
110.05,1.65,38.05,3.05,0.95843871709,0.0102747768762,6.46347780999,147,Z3,59.9346310526,1.12943188322,116.0,46.94631,18.48203,A267A
9.9,0.85,8.05,0.85,1.42452627803,0.000125404222694,10.9946480867,88,IV,170.943153363,0.0408209577398,260.0,44.22454,11.76657,BRIS
106.05,1.05,130.05,3.05,0.88508858065,0.00921567712069,8.92025311547,102,Z3,94.732469039,0.0267389623571,165.0,46.64078,17.31486,A263A
38.6,1.67,158.8,2.96,2.4249537348,0.0539906668252,11.324394278,25,Z3,38.4178773173,0.585056008791,1306.0,46.0082,8.4818,A288A
,,,,,,8.01829748653,76,Z3,,,327.0,49.4523,10.969,A354A
41.0,1.43,12.6,0.91,1.45600548253,0.122937388583,inf,140,Z3,51.1714773868,3.47672275339,11.0,45.344273,12.31822,A303A
59.0,1.29,43.2,2.91,1.70144819238,0.0795344435134,10.4999366427,75,Z3,78.1468084821,2.75533485491,494.0,49.04409,9.56839,A117A
69.5,1.19,45.4,1.19,1.57437251122,0.0109452714969,12.8293501755,65,Z3,85.5085379227,0.223334090775,466.0,49.5901,9.1824,A114A
31.1,0.67,34.3,0.7,1.3172831529,0.00192527694743,11.437615973,45,Z3,54.3437195279,0.0443247606567,665.0,48.44379,9.458581,A109A
97.1,1.67,37.8,1.86,2.08970974838,0.208560542024,9.72587959635,30,Z3,75.908698145,4.60410424742,182.0,48.98935,8.49214,A126A
80.05,2.05,82.05,1.85,1.10316418149,0.0266388599602,5.92486054178,105,Z3,91.8369149755,0.633600111076,622.0,48.0044,6.347,A158A
0.05,0.05,0.05,0.05,1.90685756336,0.0775257693172,7.1830641286,116,Z3,115.155133346,1.54347903398,502.0,49.7419,12.6911,A071A
0.05,0.05,0.05,0.05,1.58402591714,inf,11.7306685163,54,Z3,114.911008725,inf,174.0,47.154749,18.834197,A271A
44.4,0.63,4.2,0.71,1.09589512255,0.0579319412151,8.57692815662,92,Z3,54.1193574995,1.77487657863,26.0,45.63353,11.971315,A302A
110.05,1.05,136.05,2.85,1.78162972264,0.0825080238812,3.75477703014,107,GU,124.71181906,1.10704752328,350.0,44.166,10.153,EQUI
56.05,1.65,124.05,3.05,0.900219201752,0.00134873202008,7.90558783542,20,Z3,88.0461705251,0.00313805926994,489.0,50.1674,11.5708,A350A
133.0,2.27,105.1,1.19,1.52385805737,0.0972350005308,6.77278321881,157,GR,80.7027243167,1.76724165675,1150.0,48.844303,13.700627,GEC2
23.6,1.42,8.9,1.48,1.95762046162,0.0996390381735,15.3772847442,50,Z3,73.1356534184,1.87515059979,1568.0,46.6246,11.8805,A291A
28.05,1.05,14.1,1.05,1.77192704783,0.00237554148524,13.9524247476,30,Z3,49.7203271927,0.0325649762184,1729.0,46.5068,10.9028,A290A
98.9,0.98,122.7,1.6,2.03028545726,0.036799235273,9.87435494266,30,Z3,56.9627731293,0.416570069983,564.0,48.347749,9.83113,A108A
112.05,1.65,124.05,3.05,1.42006731094,0.0209797581042,5.69600547136,35,Z3,95.2980553896,0.275444227162,862.0,45.0125,16.9069,A051A
30.1,2.42,33.9,2.59,2.12719330504,0.0104157176349,2.4167599423,5,Z3,35.1129597266,0.150086708732,428.0,45.2545,7.6133,A282A
0.05,0.05,0.05,0.05,1.98840492795,0.0209587498944,8.21150717731,115,Z3,110.119378038,0.0435839519343,398.0,49.0371,12.2138,A356A
102.4,1.1,137.0,0.96,1.40922348305,0.0926307088538,6.54414626222,150,GR,94.2534232936,2.23318789792,613.0,49.1448,12.8803,WET
53.1,1.25,21.1,1.47,1.4138795702,0.0506322628162,6.85100504862,95,ST,52.8119981343,1.15619881172,1660.0,45.8808,11.1884,DOSS
54.2,1.25,27.9,3.05,1.3568910352,0.000865423673689,11.1946846375,31,Z3,46.6946519532,0.0877380251039,277.0,49.273972,9.052361,A115A
0.05,0.05,0.05,0.05,1.45489850124,0.000194083490144,10.7100083092,70,IV,174.587820149,0.0467373898865,691.0,45.763578,10.117073,ZONE
0.05,0.05,0.05,0.05,2.36331803228,0.0267250806587,15.232409411,70,Z3,55.7403532555,0.587460555642,606.0,48.165076,10.733358,A365A
0.05,0.05,0.05,0.05,3.0,1.80576613756,3.89887763816,67,Z3,89.1931118074,11.8067450291,385.0,49.349,12.3832,A355A
41.3,0.84,17.2,1.61,1.92297219487,0.115977983076,7.26738148006,71,Z3,68.8543097703,1.32932248684,541.0,48.523049,10.933397,A363A
55.8,1.22,26.9,1.66,1.39941551065,0.00643045230641,9.31159243819,23,GE,70.154870034,0.277818260818,360.0,48.7719,9.195,STU
23.9,2.99,20.2,2.99,1.11435920294,0.464167392318,8.9229647082,111,Z3,50.2647295674,13.5112331362,644.0,47.464234,11.918863,A038A
23.3,0.53,169.4,0.93,3.0,0.290705183714,7.22141144843,200,Z3,72.4279203444,0.997066255258,878.0,47.752801,11.849163,A141A
118.0,1.55,154.0,1.1,0.695823057323,0.387040064526,18.5202706729,79,Z3,66.204296984,13.4814075284,407.0,49.9916,13.2331,A073A
34.8,1.04,34.5,2.89,1.86087936208,0.290887864889,11.0112365779,125,IV,17.453907757,4.12074367359,450.0,44.07746,11.707267,LMD
,,,,,,9.24004891833,83,Z3,,,370.0,49.2705,14.0739,A077A
73.9,0.66,95.4,1.07,1.59584218089,0.00570532585443,19.1035709082,105,Z3,98.4936929097,0.106741280235,1060.0,48.864,14.2845,A078A
31.1,0.72,68.1,1.29,1.59274826425,0.161037655159,9.34155256542,166,GR,49.9126238768,3.04080029387,903.0,47.6799,10.1071,UBR
69.2,1.05,41.4,3.05,1.29188893743,0.0019437836461,8.20036027772,76,Z3,89.6607880072,0.0617110520151,359.0,49.54596,8.72964,A113A
47.2,2.09,58.0,2.7,1.71452381941,0.0717158370422,17.4002413205,30,Z3,57.9210177796,1.34566959482,914.0,47.09835,8.92522,A061A
146.7,0.79,169.8,2.93,0.873103523711,0.127662962995,9.75840823201,130,GU,123.648294946,6.14032022451,674.0,44.35047,10.5881,GSCL
66.4,1.29,8.7,1.29,1.36159642822,0.0388692824724,18.3436689514,45,Z3,2.42952153104,0.993409178882,170.0,45.366,8.8338,A286A
65.9,1.17,60.9,1.22,1.25378852361,0.00573760679989,8.99211595782,55,Z3,50.4461764443,0.150258404323,858.0,47.552187,11.436308,A140A
109.6,0.53,143.7,0.91,1.18258619045,0.048561426061,5.85736505446,195,Z3,107.123869781,3.70692261956,495.0,49.4683,13.1735,A072A
84.0,0.9,141.5,0.91,1.93700145521,0.0684919912516,6.81358046619,116,OE,91.987640129,0.967362742287,909.0,46.6299,13.6416,MYKA
8.9,2.25,35.7,1.61,2.43591802374,0.0306628362653,14.2345018832,63,Z3,14.8617315923,0.568678659593,30.0,45.10738,10.481657,A312A
74.1,2.39,78.2,1.99,2.52646464433,0.0150144158614,4.4107058715,61,IV,137.258067051,0.130017846581,66.0,43.72193,10.52495,PII
60.3,2.65,59.5,2.04,3.0,0.461291922033,6.5115390208,51,Z3,135.680260613,2.08198194132,738.0,48.8697,13.1943,A358A
56.5,1.48,116.4,1.81,1.61680346781,0.0469871789245,8.08992434079,41,Z3,75.3058613314,1.78992658464,636.0,48.728855,10.296985,A360A
47.5,2.88,16.1,1.3,1.32745504895,0.0978371603853,10.3237295515,160,Z3,48.5272965318,3.2228981489,914.0,47.683648,11.003359,A143A
152.7,2.87,143.3,1.83,1.46158937704,0.131376635754,7.68219833358,113,Z3,120.351061081,3.6939074027,390.0,44.3712,5.14762,A193A
69.5,1.03,71.4,1.62,3.0,4.68435635482,8.62575217241,70,Z3,30.4181159579,19.8241806678,801.0,47.833268,10.62346,A366A
72.6,1.42,96.6,1.97,1.67083104531,0.00950600493257,8.15791700499,67,Z3,82.6268999198,0.332038618857,496.0,49.125931,10.546854,A368A
99.0,0.98,143.4,1.35,1.24716559688,0.0899594532658,8.11367831842,100,OE,97.7703240063,2.65053545319,1008.5,46.678,15.0327,SOKA
48.1,1.02,46.5,1.48,1.33739658808,0.0286403925545,9.95353523061,121,Z3,76.105802558,0.855923128413,497.0,49.116137,11.021613,A369A
87.8,1.61,129.7,1.22,1.40045542192,0.000984460720522,9.06255741916,20,Z3,123.692816144,0.0459334886317,492.0,48.478,12.4605,A148A
84.05,1.25,58.6,1.65,1.60230409028,0.0181880208723,9.71082157914,90,NI,71.8461003278,0.428109236137,608.0,46.25383,13.2755,VINO
63.6,2.87,93.8,2.28,1.88021943391,0.0863328056213,10.4382038302,73,Z3,120.813931804,2.09163568801,1245.0,44.4291,5.54989,A216A
141.9,2.44,132.8,1.67,1.13558981245,0.31917013813,11.9319981945,96,Z3,93.5215326887,12.0946239887,363.0,43.2197,6.601,A206A
92.2,1.45,106.2,1.61,1.41878732598,0.0055841567692,8.93276575054,20,GR,102.33538157,0.332951340025,552.0,49.270925,11.669966,GRB2
36.7,1.58,30.1,1.8,1.74660975312,0.0295184269806,16.5663593524,40,Z3,47.7743597763,0.57822510108,890.0,47.406962,10.293358,A105A
109.9,0.85,78.2,2.24,1.39982752501,0.00085204392386,17.9553275027,30,Z3,157.608055793,0.177093938538,152.0,44.8939,9.9098,A285A
92.05,0.65,157.8,2.94,2.59172852412,0.0260838972567,6.69588886753,25,GR,152.285247205,0.0469440727522,438.0,48.890174,11.585822,GRC3
87.8,1.66,82.9,2.93,3.0,1.52517753608,13.3226509091,88,Z3,60.5981122047,3.88377775614,240.0,46.86419,16.52761,A262A
146.5,1.59,124.1,2.99,1.56971798079,0.000872609750543,4.49467965891,10,GU,171.633842305,0.0894857112081,2285.0,45.4595,7.13433,LSD
128.8,0.72,128.3,1.92,1.17511292318,0.317170974611,9.55615419584,145,Z3,123.862085756,6.43188875803,173.0,43.120987,10.573185,A318A
94.8,2.43,8.6,2.97,3.0,0.758054984248,8.57533161015,101,Z3,9.11115631202,1.33911435508,171.0,46.95204,17.14856,A261A
0.05,0.05,0.05,0.05,3.0,0.0545072379449,11.1149267874,90,Z3,87.0168640488,0.618294813603,143.0,46.15967,17.28968,A264A
92.3,0.82,146.6,2.96,1.10741724352,0.0223343912387,567.993022124,67,Z3,114.06016503,0.838673055004,151.0,45.916386,17.81597,A273A
70.05,2.05,83.6,2.77,1.55207635845,0.00717157402561,7.90119328056,90,Z3,58.3967470238,0.136719355367,136.0,48.61153,7.89096,A123A
50.7,1.05,38.3,1.1,1.72255090722,0.407664333319,5.46568623954,97,NI,55.7826537394,5.882302812,150.0,46.0266,12.5005,POLC
